TIME,roll,pitch,yaw
2023-02-15-12-32-42.653893653,-0.03123578429222107,-0.013061823323369026,-0.04075995087623596
2023-02-15-12-32-42.669631370,-0.031234024092555046,-0.01306685246527195,-0.040764398872852325
2023-02-15-12-32-42.685544706,-0.031223947182297707,-0.01307071465998888,-0.04076164960861206
2023-02-15-12-32-42.701557853,-0.031240422278642654,-0.013072671368718147,-0.040768101811409
2023-02-15-12-32-42.717520396,-0.031236372888088226,-0.013075079768896103,-0.04077018424868584
2023-02-15-12-32-42.733522404,-0.031233543530106544,-0.0130754504352808,-0.04077215865254402
2023-02-15-12-32-42.749529488,-0.031240493059158325,-0.013094088062644005,-0.04077164828777313
2023-02-15-12-32-42.765546804,-0.03124086558818817,-0.01308220811188221,-0.04076973721385002
2023-02-15-12-32-42.781535675,-0.03123684972524643,-0.013085559941828251,-0.04077226296067238
2023-02-15-12-32-42.797520112,-0.031235305592417717,-0.013089069165289402,-0.04077281802892685
2023-02-15-12-32-42.813503004,-0.03123738244175911,-0.013093903660774231,-0.04076816886663437
2023-02-15-12-32-42.829533220,-0.031238576397299767,-0.013111786916851997,-0.04076265171170235
2023-02-15-12-32-42.845439528,-0.031242741271853447,-0.013105683960020542,-0.04076770320534706
2023-02-15-12-32-42.861444467,-0.031239816918969154,-0.013113671913743019,-0.0407673679292202
2023-02-15-12-32-42.877469712,-0.031243713572621346,-0.013111124746501446,-0.04076599329710007
2023-02-15-12-32-42.893424015,-0.031238706782460213,-0.013102971948683262,-0.04076864942908287
2023-02-15-12-32-42.909399860,-0.03124217502772808,-0.013105204328894615,-0.040772877633571625
2023-02-15-12-32-42.925388847,-0.031242484226822853,-0.013104159384965897,-0.040779680013656616
2023-02-15-12-32-42.941405592,-0.03123447485268116,-0.013106897473335266,-0.040778741240501404
2023-02-15-12-32-42.957352068,-0.031238960102200508,-0.01310645416378975,-0.04077984392642975
2023-02-15-12-32-42.973475482,-0.031247934326529503,-0.013110022991895676,-0.040785592049360275
2023-02-15-12-32-42.989462936,-0.031243814155459404,-0.01311427727341652,-0.040792517364025116
2023-02-15-12-32-43.005413359,-0.03124350495636463,-0.01311128493398428,-0.040791742503643036
2023-02-15-12-32-43.021371425,-0.03124259226024151,-0.013116564601659775,-0.04078792408108711
2023-02-15-12-32-43.037353346,-0.03123563528060913,-0.013119582086801529,-0.040784455835819244
2023-02-15-12-32-43.053310968,-0.031231459230184555,-0.01311599463224411,-0.04078221321105957
2023-02-15-12-32-43.069344013,-0.031237423419952393,-0.013123820535838604,-0.040789827704429626
2023-02-15-12-32-43.085358423,-0.03123415820300579,-0.013114162720739841,-0.04079711064696312
2023-02-15-12-32-43.101349965,-0.0312476959079504,-0.013119276612997055,-0.04080118238925934
2023-02-15-12-32-43.117259220,-0.03125540912151337,-0.013121861033141613,-0.040803585201501846
2023-02-15-12-32-43.133329347,-0.03123917244374752,-0.013107524253427982,-0.040796227753162384
2023-02-15-12-32-43.152467015,-0.031239671632647514,-0.01310969889163971,-0.04080342873930931
2023-02-15-12-32-43.165769819,-0.03124387376010418,-0.013107341714203358,-0.040806662291288376
2023-02-15-12-32-43.181274399,-0.031242551282048225,-0.013114661909639835,-0.04081372171640396
2023-02-15-12-32-43.197264352,-0.03125239163637161,-0.01311770360916853,-0.04082540422677994
2023-02-15-12-32-43.213241021,-0.03124394454061985,-0.013122313655912876,-0.040825869888067245
2023-02-15-12-32-43.229304261,-0.031262364238500595,-0.013135689310729504,-0.04082894325256348
2023-02-15-12-32-43.245231065,-0.03126733377575874,-0.013130218721926212,-0.0408286452293396
2023-02-15-12-32-43.261273263,-0.03125304356217384,-0.013128305785357952,-0.04082734137773514
2023-02-15-12-32-43.277261708,-0.0312621146440506,-0.013134047389030457,-0.04083710536360741
2023-02-15-12-32-43.293251909,-0.03124626725912094,-0.013132130727171898,-0.04083852469921112
2023-02-15-12-32-43.309211376,-0.03125949576497078,-0.013135685585439205,-0.040840525180101395
2023-02-15-12-32-43.325211097,-0.03125586360692978,-0.013148155994713306,-0.04084845259785652
2023-02-15-12-32-43.341220629,-0.0312497541308403,-0.01313087809830904,-0.04083920642733574
2023-02-15-12-32-43.357207917,-0.03125731647014618,-0.013131399638950825,-0.04084652662277222
2023-02-15-12-32-43.373166797,-0.031265225261449814,-0.013130209408700466,-0.040847837924957275
2023-02-15-12-32-43.389112499,-0.03126029297709465,-0.013119743205606937,-0.04085597023367882
2023-02-15-12-32-43.405166677,-0.03126474469900131,-0.013127540238201618,-0.040858834981918335
2023-02-15-12-32-43.421146063,-0.031269289553165436,-0.01312118861824274,-0.04085550084710121
2023-02-15-12-32-43.437129061,-0.031273115426301956,-0.01310802809894085,-0.04085439816117287
2023-02-15-12-32-43.453146813,-0.031278640031814575,-0.013119997456669807,-0.04085559397935867
2023-02-15-12-32-43.469114529,-0.031285155564546585,-0.013116191141307354,-0.040853627026081085
2023-02-15-12-32-43.485077038,-0.03129197284579277,-0.013108219020068645,-0.04086315259337425
2023-02-15-12-32-43.501059332,-0.03129422292113304,-0.013113223947584629,-0.04086761921644211
2023-02-15-12-32-43.517057545,-0.0312969796359539,-0.013102304190397263,-0.040865518152713776
2023-02-15-12-32-43.533094230,-0.0313015915453434,-0.013102410361170769,-0.04087240993976593
2023-02-15-12-32-43.549099264,-0.03129854425787926,-0.01308984775096178,-0.040877897292375565
2023-02-15-12-32-43.565054550,-0.03130184859037399,-0.013098908588290215,-0.04087565466761589
2023-02-15-12-32-43.581080859,-0.031301092356443405,-0.013088196516036987,-0.040887780487537384
2023-02-15-12-32-43.597034707,-0.03130663186311722,-0.01308575551956892,-0.0408894345164299
2023-02-15-12-32-43.613017680,-0.031303614377975464,-0.01309575978666544,-0.04089372605085373
2023-02-15-12-32-43.629067956,-0.031296439468860626,-0.013088755309581757,-0.0408940464258194
2023-02-15-12-32-43.645008229,-0.03130190819501877,-0.013088911771774292,-0.04088923707604408
2023-02-15-12-32-43.661040418,-0.031309425830841064,-0.01308512780815363,-0.04088924825191498
2023-02-15-12-32-43.677031001,-0.03130727261304855,-0.013082129880785942,-0.040885910391807556
2023-02-15-12-32-43.692994801,-0.03129332885146141,-0.013078154064714909,-0.0409003421664238
2023-02-15-12-32-43.709024916,-0.03128010034561157,-0.013066391460597515,-0.04090452939271927
2023-02-15-12-32-43.724976733,-0.031274423003196716,-0.013065140694379807,-0.04090848192572594
2023-02-15-12-32-43.741018121,-0.03127776086330414,-0.01307015772908926,-0.0409126877784729
2023-02-15-12-32-43.757010586,-0.03127989172935486,-0.01307058334350586,-0.0409078486263752
2023-02-15-12-32-43.772995734,-0.031285688281059265,-0.013076050207018852,-0.04090910032391548
2023-02-15-12-32-43.788964276,-0.0312780886888504,-0.013068017549812794,-0.0409061536192894
2023-02-15-12-32-43.804951242,-0.03127841651439667,-0.013072142377495766,-0.04090401902794838
2023-02-15-12-32-43.820962840,-0.03128211572766304,-0.013078559190034866,-0.04090899974107742
2023-02-15-12-32-43.836932420,-0.03127826377749443,-0.013078087009489536,-0.040910277515649796
2023-02-15-12-32-43.852938015,-0.03128690645098686,-0.013074846006929874,-0.04091885685920715
2023-02-15-12-32-43.868966603,-0.03128453344106674,-0.013086638413369656,-0.04091936722397804
2023-02-15-12-32-43.884900487,-0.03128640726208687,-0.013086698949337006,-0.04092160239815712
2023-02-15-12-32-43.900924139,-0.03129911050200462,-0.013084323145449162,-0.040922582149505615
2023-02-15-12-32-43.916904097,-0.031293369829654694,-0.013078066520392895,-0.04091601073741913
2023-02-15-12-32-43.932916186,-0.03130564093589783,-0.013071783818304539,-0.04092354327440262
2023-02-15-12-32-43.948888979,-0.031304940581321716,-0.013080466538667679,-0.04092450439929962
2023-02-15-12-32-43.964882816,-0.03129628300666809,-0.013075722381472588,-0.04091958701610565
2023-02-15-12-32-43.980877896,-0.031313829123973846,-0.013088138774037361,-0.040933165699243546
2023-02-15-12-32-43.996875608,-0.03130609542131424,-0.013085086829960346,-0.04093201458454132
2023-02-15-12-32-44.012893451,-0.03131621330976486,-0.01308083813637495,-0.04093937948346138
2023-02-15-12-32-44.028862999,-0.031320516020059586,-0.013089015148580074,-0.040943291038274765
2023-02-15-12-32-44.044837102,-0.03131795674562454,-0.01308643538504839,-0.04093948379158974
2023-02-15-12-32-44.060812495,-0.031321439892053604,-0.013091898523271084,-0.040954552590847015
2023-02-15-12-32-44.076856655,-0.031311143189668655,-0.013089705258607864,-0.04095796123147011
2023-02-15-12-32-44.092844048,-0.03130090981721878,-0.013085288926959038,-0.04095039144158363
2023-02-15-12-32-44.108784846,-0.031307563185691833,-0.013095642440021038,-0.04094645753502846
2023-02-15-12-32-44.124799465,-0.031302448362112045,-0.013097012415528297,-0.04094849154353142
2023-02-15-12-32-44.124835401,-0.03129935264587402,-0.013098522089421749,-0.04094516485929489
2023-02-15-12-32-44.140809100,-0.031290434300899506,-0.013093623332679272,-0.04093416780233383
2023-02-15-12-32-44.140837075,-0.031294677406549454,-0.013098174706101418,-0.04094124585390091
2023-02-15-12-32-44.156801392,-0.03130454942584038,-0.013102429918944836,-0.04094904288649559
2023-02-15-12-32-44.172784964,-0.03129589185118675,-0.013089650310575962,-0.04094591364264488
2023-02-15-12-32-44.188802418,-0.03128325566649437,-0.01309096161276102,-0.04094678536057472
2023-02-15-12-32-44.204717257,-0.031282875686883926,-0.013108015060424805,-0.040951382368803024
2023-02-15-12-32-44.220790456,-0.03128140792250633,-0.013100615702569485,-0.04095358029007912
2023-02-15-12-32-44.236779650,-0.03128416836261749,-0.013103801757097244,-0.0409526526927948
2023-02-15-12-32-44.252799314,-0.03128350153565407,-0.013106662780046463,-0.04097021743655205
2023-02-15-12-32-44.268757990,-0.03129201754927635,-0.013111441396176815,-0.04096492379903793
2023-02-15-12-32-44.284714800,-0.031289879232645035,-0.013117731548845768,-0.04097426310181618
2023-02-15-12-32-44.300761388,-0.03127855062484741,-0.0131043940782547,-0.04097362980246544
2023-02-15-12-32-44.316730979,-0.03127312660217285,-0.01310381293296814,-0.040976256132125854
2023-02-15-12-32-44.332750410,-0.03128018602728844,-0.013100535608828068,-0.04098580405116081
2023-02-15-12-32-44.348734732,-0.03127939626574516,-0.013093371875584126,-0.040986377745866776
2023-02-15-12-32-44.364723063,-0.03128661587834358,-0.01308345329016447,-0.0409986637532711
2023-02-15-12-32-44.380720875,-0.031284675002098083,-0.013088755309581757,-0.040991783142089844
2023-02-15-12-32-44.396668589,-0.031292784959077835,-0.013090720400214195,-0.040993548929691315
2023-02-15-12-32-44.412679215,-0.03130221366882324,-0.01309437956660986,-0.04099761322140694
2023-02-15-12-32-44.428676464,-0.0312955267727375,-0.013100674375891685,-0.040989648550748825
2023-02-15-12-32-44.444628413,-0.0313042476773262,-0.013101178221404552,-0.04099397361278534
2023-02-15-12-32-44.460634260,-0.03130367025732994,-0.013095585629343987,-0.040995799005031586
2023-02-15-12-32-44.476641297,-0.03130097687244415,-0.013099517673254013,-0.040994323790073395
2023-02-15-12-32-44.492585364,-0.03132385388016701,-0.0131088737398386,-0.040998198091983795
2023-02-15-12-32-44.508608367,-0.03132476285099983,-0.01311672292649746,-0.041002240031957626
2023-02-15-12-32-44.524598105,-0.03131803870201111,-0.01310459803789854,-0.04100784286856651
2023-02-15-12-32-44.540608644,-0.03131847083568573,-0.013096046634018421,-0.04099170118570328
2023-02-15-12-32-44.556577001,-0.03132599964737892,-0.013092896901071072,-0.041001465171575546
2023-02-15-12-32-44.572589615,-0.03131980076432228,-0.013079596683382988,-0.041006699204444885
2023-02-15-12-32-44.588555666,-0.03131895512342453,-0.013087118975818157,-0.0410105399787426
2023-02-15-12-32-44.604552209,-0.03133038431406021,-0.013086188584566116,-0.041012708097696304
