TIME,roll,pitch,yaw,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags
2023-02-15-13-32-27.756785117,-0.03787817806005478,-0.017309114336967468,0.00021446961909532547,,,,,,59.996334075927734,59.996334075927734,59.996334075927734,,,,2.0068585872650146,2.0068585872650146,1.9998292922973633,-0.04599529504776001,-0.01751101016998291,-0.00011663889745250344,0.0043335589580237865,0.004334680270403624,0.09997086226940155,2.0,1.0,1026.0
2023-02-15-13-32-27.799625206,-0.03789454326033592,-0.01729280687868595,0.0002186054189223796,,,,,,59.996334075927734,59.996334075927734,59.996334075927734,,,,2.0068585872650146,2.0068585872650146,1.9998292922973633,-0.045980874449014664,-0.01750301942229271,-0.00011487065785331652,0.0043335589580237865,0.004334680270403624,0.09997086226940155,2.0,1.0,1026.0
2023-02-15-13-32-27.842633638,-0.0379473939538002,-0.017297331243753433,0.00022607538267038763,,,,,,59.996334075927734,59.996334075927734,59.996334075927734,,,,2.0068585872650146,2.0068585872650146,1.9998292922973633,-0.04600236937403679,-0.017496323212981224,-0.00010585664858808741,0.0043335589580237865,0.004334680270403624,0.09997086226940155,2.0,1.0,1026.0
2023-02-15-13-32-27.885772133,-0.037966448813676834,-0.01728224940598011,0.000217142267501913,,,,,,59.996334075927734,59.996334075927734,59.996334075927734,,,,2.0068585872650146,2.0068585872650146,1.9998292922973633,-0.045991748571395874,-0.01749025285243988,-0.00010352009849157184,0.0043335589580237865,0.004334680270403624,0.09997086226940155,2.0,1.0,1026.0
2023-02-15-13-32-27.928793143,-0.037990204989910126,-0.01730746403336525,0.00021318404469639063,,,,,,59.996334075927734,59.996334075927734,59.996334075927734,,,,2.0068585872650146,2.0068585872650146,1.9998292922973633,-0.04597867652773857,-0.01751137524843216,-0.00011215778067708015,0.0043335589580237865,0.004334680270403624,0.09997086226940155,2.0,1.0,1026.0
2023-02-15-13-32-27.971918558,-0.03801356628537178,-0.017296534031629562,0.0002145534090232104,,,,,,59.996334075927734,59.996334075927734,59.996334075927734,,,,2.0068585872650146,2.0068585872650146,1.9998292922973633,-0.045983877032995224,-0.017501968890428543,-0.00011804721725638956,0.0043335589580237865,0.004334680270403624,0.09997086226940155,2.0,1.0,1026.0
2023-02-15-13-32-27.971940495,,,,,,,,,59.996334075927734,59.996334075927734,59.996334075927734,,,,2.0068585872650146,2.0068585872650146,1.9998292922973633,-0.04599912837147713,-0.017510470002889633,-0.00012256731861270964,0.0043335589580237865,0.004334680270403624,0.09997086226940155,2.0,1.0,1026.0
2023-02-15-13-32-28.014942395,-0.03805149719119072,-0.017312338575720787,0.0002108897897414863,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-13-32-28.014985237,-0.03804768994450569,-0.01729360595345497,0.00022330986394081265,,,,,,59.995853424072266,59.995853424072266,59.995853424072266,,,,2.0077221393585205,2.0077221393585205,1.9998071193695068,-0.04597107321023941,-0.017495078966021538,-0.00010909462434938177,0.004084360785782337,0.0040856096893548965,0.09996719658374786,2.0,1.0,1026.0
2023-02-15-13-32-28.015060751,-0.03806372731924057,-0.01729530468583107,0.00021765235578641295,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-13-32-28.058190649,,,,,,,,,59.995853424072266,59.995853424072266,59.995853424072266,,,,2.0077221393585205,2.0077221393585205,1.9998071193695068,-0.046036381274461746,-0.01752374693751335,-0.00011237446597078815,0.004084360785782337,0.0040856096893548965,0.09996719658374786,2.0,1.0,1026.0
2023-02-15-13-32-28.058240416,-0.03808760270476341,-0.017288310453295708,0.00021552079124376178,,,,,,59.995853424072266,59.995853424072266,59.995853424072266,,,,2.0077221393585205,2.0077221393585205,1.9998071193695068,-0.045982010662555695,-0.017489895224571228,-0.0001139132073149085,0.004084360785782337,0.0040856096893548965,0.09996719658374786,2.0,1.0,1026.0
