TIME,roll,pitch,yaw
2023-02-15-12-31-04.523571555,-0.031253889203071594,-0.01323352474719286,-0.03526907414197922
2023-02-15-12-31-04.539422331,-0.031248049810528755,-0.013253483921289444,-0.03526895493268967
2023-02-15-12-31-04.555292025,-0.03125617653131485,-0.01324227824807167,-0.035277824848890305
2023-02-15-12-31-04.571316441,-0.031244313344359398,-0.013244500383734703,-0.03527063876390457
2023-02-15-12-31-04.587268226,-0.031247587874531746,-0.01323577668517828,-0.035265639424324036
2023-02-15-12-31-04.603337929,-0.031239738687872887,-0.013235668651759624,-0.035261910408735275
2023-02-15-12-31-04.619293782,-0.031239299103617668,-0.013233399018645287,-0.03526262193918228
2023-02-15-12-31-04.635260347,-0.031239723786711693,-0.01323873270303011,-0.03526785597205162
2023-02-15-12-31-04.651280722,-0.031234117224812508,-0.013244044035673141,-0.03527221456170082
2023-02-15-12-31-04.667328535,-0.031246166676282883,-0.013235513120889664,-0.035269226878881454
2023-02-15-12-31-04.683269659,-0.03126639500260353,-0.013232405297458172,-0.035278819501399994
2023-02-15-12-31-04.699262496,-0.03125235438346863,-0.013227194547653198,-0.03526940569281578
2023-02-15-12-31-04.715273051,-0.03125615790486336,-0.01322032418102026,-0.03527067229151726
2023-02-15-12-31-04.731265583,-0.031249985098838806,-0.013211434707045555,-0.035268355160951614
2023-02-15-12-31-04.747250543,-0.03124389983713627,-0.013205057010054588,-0.03527314215898514
2023-02-15-12-31-04.763256364,-0.03124990314245224,-0.013216881081461906,-0.03528006747364998
2023-02-15-12-31-04.779242352,-0.031247636303305626,-0.013216400519013405,-0.03527740389108658
2023-02-15-12-31-04.795243480,-0.031241673976182938,-0.013218853622674942,-0.0352804996073246
2023-02-15-12-31-04.811226312,-0.03126363083720207,-0.013215550221502781,-0.03527799993753433
2023-02-15-12-31-04.827174841,-0.03126630187034607,-0.013196969404816628,-0.03527813032269478
2023-02-15-12-31-04.843190180,-0.03126315400004387,-0.01320401020348072,-0.035272303968667984
2023-02-15-12-31-04.859163567,-0.03126131370663643,-0.013204088434576988,-0.035273756831884384
2023-02-15-12-31-04.875091563,-0.031265437602996826,-0.013199852779507637,-0.03526686131954193
2023-02-15-12-31-04.891103020,-0.031262289732694626,-0.013202691450715065,-0.03525891527533531
2023-02-15-12-31-04.907108553,-0.031260013580322266,-0.013196163810789585,-0.03526405617594719
2023-02-15-12-31-04.923048021,-0.03126053139567375,-0.013202040456235409,-0.035262830555438995
2023-02-15-12-31-04.939054407,-0.03126493841409683,-0.013200972229242325,-0.03526640310883522
2023-02-15-12-31-04.955053497,-0.03125942870974541,-0.013198381289839745,-0.03526802733540535
2023-02-15-12-31-04.971006062,-0.0312504768371582,-0.013193952850997448,-0.03526810556650162
2023-02-15-12-31-04.987058773,-0.031259141862392426,-0.0131981885060668,-0.035267993807792664
2023-02-15-12-31-05.003031971,-0.03124931827187538,-0.013197161257266998,-0.035266466438770294
2023-02-15-12-31-05.019053690,-0.03125429525971413,-0.013183447532355785,-0.03527181223034859
2023-02-15-12-31-05.035005666,-0.031249169260263443,-0.0131920725107193,-0.03527018800377846
2023-02-15-12-31-05.050973848,-0.031243721023201942,-0.013194244354963303,-0.035277049988508224
2023-02-15-12-31-05.066932985,-0.03124302066862583,-0.01319080963730812,-0.03527923300862312
2023-02-15-12-31-05.082981674,-0.031234359368681908,-0.013185875490307808,-0.03528599813580513
2023-02-15-12-31-05.098977639,-0.031229661777615547,-0.013182653114199638,-0.035286400467157364
2023-02-15-12-31-05.114961236,-0.031221579760313034,-0.013173709623515606,-0.035287752747535706
2023-02-15-12-31-05.130947769,-0.031226713210344315,-0.013179299421608448,-0.03529009595513344
2023-02-15-12-31-05.146979721,-0.03123094141483307,-0.013176783919334412,-0.035287078469991684
2023-02-15-12-31-05.162926389,-0.03123786486685276,-0.013178839348256588,-0.03527183458209038
2023-02-15-12-31-05.178900950,-0.031238259747624397,-0.013179716654121876,-0.03528063744306564
2023-02-15-12-31-05.194887757,-0.03123338334262371,-0.013188378885388374,-0.03528736159205437
2023-02-15-12-31-05.210906137,-0.0312403105199337,-0.01318091619759798,-0.035296034067869186
2023-02-15-12-31-05.226868063,-0.031234392896294594,-0.01318017765879631,-0.03529219329357147
2023-02-15-12-31-05.242902362,-0.03123651072382927,-0.013192235492169857,-0.035298071801662445
2023-02-15-12-31-05.258896466,-0.031243449077010155,-0.013188280165195465,-0.035290420055389404
2023-02-15-12-31-05.274854625,-0.03124137967824936,-0.013187829405069351,-0.0352940559387207
2023-02-15-12-31-05.290875623,-0.031247453764081,-0.013187835924327374,-0.03529899939894676
2023-02-15-12-31-05.306897348,-0.031243620440363884,-0.013195916078984737,-0.035302504897117615
2023-02-15-12-31-05.322871952,-0.0312384944409132,-0.013195406645536423,-0.035298533737659454
2023-02-15-12-31-05.338874979,-0.031249836087226868,-0.013216620311141014,-0.03529760614037514
2023-02-15-12-31-05.354890971,-0.031249795109033585,-0.013215825892984867,-0.03529743477702141
2023-02-15-12-31-05.370911393,-0.03126174584031105,-0.013208812102675438,-0.03530481085181236
2023-02-15-12-31-05.386818671,-0.031265389174222946,-0.013224756345152855,-0.03530474752187729
2023-02-15-12-31-05.402821983,-0.03127952292561531,-0.013221199624240398,-0.03531860560178757
2023-02-15-12-31-05.418800276,-0.03126995638012886,-0.013227536343038082,-0.0353265143930912
2023-02-15-12-31-05.434788409,-0.03127627447247505,-0.013223586603999138,-0.03532982990145683
2023-02-15-12-31-05.450839062,-0.03127084672451019,-0.013225010596215725,-0.03532810136675835
2023-02-15-12-31-05.466822843,-0.031268395483493805,-0.013229863718152046,-0.03532516211271286
2023-02-15-12-31-05.482854290,-0.03128352016210556,-0.01323443278670311,-0.03533371537923813
2023-02-15-12-31-05.498774327,-0.03128312900662422,-0.013235810212790966,-0.035337742418050766
2023-02-15-12-31-05.514788222,-0.03128642961382866,-0.013240198604762554,-0.03533850982785225
2023-02-15-12-31-05.530773441,-0.03128071501851082,-0.013250194489955902,-0.035344745963811874
2023-02-15-12-31-05.546729618,-0.0312718003988266,-0.013248198665678501,-0.03534543886780739
2023-02-15-12-31-05.562743399,-0.03128796070814133,-0.013255181722342968,-0.03535793721675873
2023-02-15-12-31-05.578780498,-0.03127492964267731,-0.013243417255580425,-0.03535794839262962
2023-02-15-12-31-05.594701522,-0.03128451108932495,-0.013244012370705605,-0.03536180406808853
2023-02-15-12-31-05.610750216,-0.03128214552998543,-0.013255049474537373,-0.03535022959113121
2023-02-15-12-31-05.626704396,-0.03128167986869812,-0.01325396727770567,-0.03535239025950432
2023-02-15-12-31-05.642779884,-0.031272176653146744,-0.013256489299237728,-0.03535612300038338
2023-02-15-12-31-05.658716181,-0.03125149756669998,-0.013240356929600239,-0.03535110875964165
2023-02-15-12-31-05.674651723,-0.03125207498669624,-0.01323686446994543,-0.03535288944840431
2023-02-15-12-31-05.690677482,-0.031254518777132034,-0.013240978121757507,-0.0353541225194931
2023-02-15-12-31-05.690725100,-0.0312541164457798,-0.013254628516733646,-0.0353570394217968
2023-02-15-12-31-05.706692760,-0.03126012533903122,-0.013253076002001762,-0.03535645082592964
2023-02-15-12-31-05.722713083,-0.03126110881567001,-0.013246013782918453,-0.035359542816877365
