0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
-0.02912052534520626,-0.016780395060777664,0.10286644846200943,,,,,,56.048789978027344,56.048789978027344,56.048789978027344,,,,5.4604387283325195,5.461158752441406,1.8216649293899536,-0.02482759766280651,-0.017232175916433334,0.6467010974884033,0.0009443715098313987,0.0009398212423548102,0.17000000178813934,2.0,1.0,1025.0
-0.029096154496073723,-0.016788819804787636,0.10285294055938721,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,56.048789978027344,56.048789978027344,56.048789978027344,,,,5.4604387283325195,5.461158752441406,1.8216649293899536,-0.024815935641527176,-0.01724078319966793,0.6466940641403198,0.0009443715098313987,0.0009398212423548102,0.17000000178813934,2.0,1.0,1025.0
-0.02909727953374386,-0.016788525506854057,0.10285356640815735,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,56.048789978027344,56.048789978027344,56.048789978027344,,,,5.4604387283325195,5.461158752441406,1.8216649293899536,-0.02481703832745552,-0.017246853560209274,0.6466948986053467,0.0009443715098313987,0.0009398212423548102,0.17000000178813934,2.0,1.0,1025.0
-0.02910706214606762,-0.016800642013549805,0.10285080969333649,,,,,,56.048789978027344,56.048789978027344,56.048789978027344,,,,5.4604387283325195,5.461158752441406,1.8216649293899536,-0.024821331724524498,-0.017253469675779343,0.6467031836509705,0.0009443715098313987,0.0009398212423548102,0.17000000178813934,2.0,1.0,1025.0
-0.02912372350692749,-0.016811184585094452,0.10285396873950958,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,56.048789978027344,56.048789978027344,56.048789978027344,,,,5.4604387283325195,5.461158752441406,1.8216649293899536,-0.024825861677527428,-0.017259346321225166,0.6467023491859436,0.0009443715098313987,0.0009398212423548102,0.17000000178813934,2.0,1.0,1025.0
-0.029112204909324646,-0.016806738451123238,0.10284655541181564,,,,,,56.048789978027344,56.048789978027344,56.048789978027344,,,,5.4604387283325195,5.461158752441406,1.8216649293899536,-0.02482433430850506,-0.017260508611798286,0.6466979384422302,0.0009443715098313987,0.0009398212423548102,0.17000000178813934,2.0,1.0,1025.0
-0.029096819460392,-0.016797317191958427,0.10284989327192307,,,,,,,,,,,,,,,,,,,,,,,
