TIME,roll,pitch,yaw,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags
2023-02-15-12-05-59.533881913,-0.02913355827331543,-0.01643369160592556,0.08700552582740784,,,,,,55.68589401245117,55.68589401245117,55.68589401245117,,,,5.608598232269287,5.6092848777771,1.8061476945877075,-0.024927308782935143,-0.01611383818089962,0.6621432304382324,0.000941769452765584,0.0009412862709723413,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-05-59.567433073,-0.029131023213267326,-0.01642724685370922,0.08700993657112122,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-05-59.567529055,,,,,,,,,55.68589401245117,55.68589401245117,55.68589401245117,,,,5.608598232269287,5.6092848777771,1.8061476945877075,-0.024925539270043373,-0.016099775210022926,0.6621429920196533,0.000941769452765584,0.0009412862709723413,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-05-59.600289950,-0.02912953495979309,-0.016416091471910477,0.08701395988464355,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-05-59.600378337,,,,,,,,,55.68589401245117,55.68589401245117,55.68589401245117,,,,5.608598232269287,5.6092848777771,1.8061476945877075,-0.02492072992026806,-0.016097091138362885,0.6621443629264832,0.000941769452765584,0.0009412862709723413,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-05-59.633345390,-0.029122084379196167,-0.016415223479270935,0.08701980113983154,,,,,,55.68589401245117,55.68589401245117,55.68589401245117,,,,5.608598232269287,5.6092848777771,1.8061476945877075,-0.024915702641010284,-0.01609388180077076,0.6621382832527161,0.000941769452765584,0.0009412862709723413,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-05-59.666316005,-0.029113927856087685,-0.01641305536031723,0.08700758963823318,,,,,,55.68589401245117,55.68589401245117,55.68589401245117,,,,5.608598232269287,5.6092848777771,1.8061476945877075,-0.02490779012441635,-0.01609508879482746,0.6621317863464355,0.000941769452765584,0.0009412862709723413,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-05-59.699291524,-0.029114998877048492,-0.01640862412750721,0.08700235933065414,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-05-59.699382447,,,,,,,,,55.68589401245117,55.68589401245117,55.68589401245117,,,,5.608598232269287,5.6092848777771,1.8061476945877075,-0.02491704374551773,-0.016089053824543953,0.6621202826499939,0.000941769452765584,0.0009412862709723413,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-05-59.732276380,-0.02913009002804756,-0.016424013301730156,0.08698466420173645,,,,,,55.68531036376953,55.68531036376953,55.68531036376953,,,,5.60883092880249,5.609517574310303,1.8061227798461914,-0.024928614497184753,-0.01610030233860016,0.662105143070221,0.0009418368572369218,0.0009412788785994053,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-05-59.765302742,-0.02912658080458641,-0.0164196640253067,0.08698675036430359,,,,,,55.68531036376953,55.68531036376953,55.68531036376953,,,,5.60883092880249,5.609517574310303,1.8061227798461914,-0.02492162212729454,-0.01610293611884117,0.6621028184890747,0.0009418368572369218,0.0009412788785994053,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-05-59.798239163,-0.029135188087821007,-0.01641395129263401,0.08700122684240341,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-05-59.798338696,,,,,,,,,55.68531036376953,55.68531036376953,55.68531036376953,,,,5.60883092880249,5.609517574310303,1.8061227798461914,-0.024922344833612442,-0.016078896820545197,0.6621180176734924,0.0009418368572369218,0.0009412788785994053,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-05-59.831175178,-0.02913610450923443,-0.01639675907790661,0.08700260519981384,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-05-59.831254290,,,,,,,,,55.68531036376953,55.68531036376953,55.68531036376953,,,,5.60883092880249,5.609517574310303,1.8061227798461914,-0.02492348477244377,-0.016066787764430046,0.6621196269989014,0.0009418368572369218,0.0009412788785994053,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-05-59.864177045,-0.029121074825525284,-0.01639627479016781,0.08699977397918701,,,,,,55.68531036376953,55.68531036376953,55.68531036376953,,,,5.60883092880249,5.609517574310303,1.8061227798461914,-0.024906344711780548,-0.01606723666191101,0.6621143221855164,0.0009418368572369218,0.0009412788785994053,0.17000000178813934,2.0,1.0,1025.0
