TIME,roll,pitch,yaw,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags
2023-02-15-12-06-26.066232158,-0.02912311442196369,-0.016640035435557365,0.08612667769193649,,,,,,55.65497970581055,55.65497970581055,55.65497970581055,,,,5.6209025382995605,5.621585369110107,1.8048291206359863,-0.024836324155330658,-0.01654450222849846,0.6600533127784729,0.0009445337927900255,0.0009397428948432207,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-06-26.099918966,-0.029126539826393127,-0.016641270369291306,0.08612629026174545,,,,,,55.65497970581055,55.65497970581055,55.65497970581055,,,,5.6209025382995605,5.621585369110107,1.8048291206359863,-0.02483847551047802,-0.016541793942451477,0.6600573062896729,0.0009445337927900255,0.0009397428948432207,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-06-26.132877802,-0.02912142686545849,-0.016651351004838943,0.08612982928752899,,,,,,55.65497970581055,55.65497970581055,55.65497970581055,,,,5.6209025382995605,5.621585369110107,1.8048291206359863,-0.024839457124471664,-0.016554726287722588,0.6600533723831177,0.0009445337927900255,0.0009397428948432207,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-06-26.165843789,-0.029134931042790413,-0.016665209084749222,0.08611297607421875,,,,,,55.65497970581055,55.65497970581055,55.65497970581055,,,,5.6209025382995605,5.621585369110107,1.8048291206359863,-0.02484421618282795,-0.016568874940276146,0.6600436568260193,0.0009445337927900255,0.0009397428948432207,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-06-26.198804093,-0.029133183881640434,-0.016682593151926994,0.08610712736845016,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-06-26.198896217,,,,,,,,,55.65497970581055,55.65497970581055,55.65497970581055,,,,5.6209025382995605,5.621585369110107,1.8048291206359863,-0.024843784049153328,-0.01658887416124344,0.6600364446640015,0.0009445337927900255,0.0009397428948432207,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-06-26.231845222,-0.029132002964615822,-0.016685009002685547,0.08610326051712036,,,,,,55.65439987182617,55.65439987182617,55.65439987182617,,,,5.621134281158447,5.621817111968994,1.8048043251037598,-0.024844296276569366,-0.0165909081697464,0.6600257158279419,0.0009445672039873898,0.0009397200774401426,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-06-26.264763269,-0.02913089282810688,-0.016670741140842438,0.08610249310731888,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-06-26.264839925,,,,,,,,,55.65439987182617,55.65439987182617,55.65439987182617,,,,5.621134281158447,5.621817111968994,1.8048043251037598,-0.024846725165843964,-0.016574790701270103,0.6600286960601807,0.0009445672039873898,0.0009397200774401426,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-06-26.297779392,-0.02913200668990612,-0.016666706651449203,0.08610216528177261,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-06-26.297861833,,,,,,,,,55.65439987182617,55.65439987182617,55.65439987182617,,,,5.621134281158447,5.621817111968994,1.8048043251037598,-0.024839114397764206,-0.016567455604672432,0.6600317358970642,0.0009445672039873898,0.0009397200774401426,0.17000000178813934,2.0,1.0,1025.0
