TIME,roll,pitch,yaw,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags
2023-02-15-13-14-23.094165383,-0.04008488729596138,-0.009156587533652782,-0.00046670425217598677,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.02949588932096958,-0.013419725000858307,-0.0005197666469030082,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
2023-02-15-13-14-23.136974808,-0.040070656687021255,-0.009173130616545677,-0.0004647460300475359,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.02950631082057953,-0.013430966064333916,-0.0005189012154005468,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
2023-02-15-13-14-23.179918738,,,,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.029515376314520836,-0.013428416103124619,-0.0005156458937563002,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
2023-02-15-13-14-23.179953964,-0.04004223272204399,-0.00919897947460413,-0.00046429576468653977,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.029514197260141373,-0.013440046459436417,-0.0005175262340344489,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
2023-02-15-13-14-23.223058514,-0.04002483934164047,-0.009215569123625755,-0.0004658268589992076,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.02952251397073269,-0.013445473276078701,-0.0005171262891963124,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
2023-02-15-13-14-23.223079441,-0.04002096503973007,-0.009235710836946964,-0.00047030774294398725,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.029530370607972145,-0.013448251411318779,-0.0005191708914935589,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
2023-02-15-13-14-23.266211774,-0.03999082371592522,-0.009252067655324936,-0.00046153939911164343,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.02953670546412468,-0.013459140434861183,-0.0005174929974600673,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
2023-02-15-13-14-23.309258636,-0.03998144343495369,-0.009250120259821415,-0.0004541316593531519,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.029538271948695183,-0.013460911810398102,-0.0005155186518095434,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
2023-02-15-13-14-23.309279450,-0.039969269186258316,-0.009270692244172096,-0.0004559265507850796,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.02953965589404106,-0.013463991694152355,-0.0005138645647093654,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
2023-02-15-13-14-23.352297768,,,,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.02954000234603882,-0.013466954231262207,-0.0005041249096393585,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
2023-02-15-13-14-23.352322009,-0.03994738310575485,-0.00928009208291769,-0.0004476027679629624,,,,,,59.99114227294922,59.99114227294922,59.99114227294922,,,,2.016340732574463,2.0163402557373047,1.9995883703231812,-0.02954016625881195,-0.013471477665007114,-0.0004993273760192096,0.0028385892510414124,0.0028415031265467405,0.09991765022277832,2.0,1.0,1026.0
