TIME,roll,pitch,yaw,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags
2023-02-15-13-10-59.869509878,-0.026080159470438957,-0.014677961356937885,-0.000488820718601346,,,,,,59.99020004272461,59.99020004272461,59.99020004272461,,,,2.018059730529785,2.018059253692627,1.999544620513916,-0.029464343562722206,-0.013496882282197475,-0.0006864939932711422,0.0027131508104503155,0.0027161308098584414,0.09991173446178436,2.0,1.0,1026.0
2023-02-15-13-10-59.912321978,-0.026094919070601463,-0.014670738950371742,-0.000491027720272541,,,,,,59.99020004272461,59.99020004272461,59.99020004272461,,,,2.018059730529785,2.018059253692627,1.999544620513916,-0.02947215735912323,-0.013486422598361969,-0.0006889314972795546,0.0027131508104503155,0.0027161308098584414,0.09991173446178436,2.0,1.0,1026.0
2023-02-15-13-10-59.955341963,-0.026107624173164368,-0.014666631817817688,-0.0004932366427965462,,,,,,59.99020004272461,59.99020004272461,59.99020004272461,,,,2.018059730529785,2.018059253692627,1.999544620513916,-0.029482703655958176,-0.013491170480847359,-0.0006948725203983486,0.0027131508104503155,0.0027161308098584414,0.09991173446178436,2.0,1.0,1026.0
2023-02-15-13-10-59.955379147,,,,,,,,,59.99020004272461,59.99020004272461,59.99020004272461,,,,2.018059730529785,2.018059253692627,1.999544620513916,-0.029484840109944344,-0.013494650833308697,-0.0006926654023118317,0.0027131508104503155,0.0027161308098584414,0.09991173446178436,2.0,1.0,1026.0
2023-02-15-13-10-59.998373469,-0.026116030290722847,-0.01466787327080965,-0.0004981489037163556,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-13-10-59.998397144,-0.026123983785510063,-0.01466497965157032,-0.0004952659946866333,,,,,,59.99020004272461,59.99020004272461,59.99020004272461,,,,2.018059730529785,2.018059253692627,1.999544620513916,-0.02948686107993126,-0.013489197008311749,-0.0006990691763348877,0.0027131508104503155,0.0027161308098584414,0.09991173446178436,2.0,1.0,1026.0
2023-02-15-13-10-59.998407209,-0.026131825521588326,-0.014658616855740547,-0.0004953701281920075,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-13-10-59.998420302,,,,,,,,,59.99020004272461,59.99020004272461,59.99020004272461,,,,2.018059730529785,2.018059253692627,1.999544620513916,-0.02948819100856781,-0.013485359959304333,-0.0006984725478105247,0.0027131508104503155,0.0027161308098584414,0.09991173446178436,2.0,1.0,1026.0
2023-02-15-13-10-59.998424996,-0.026134392246603966,-0.014658691361546516,-0.0004937339690513909,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-13-11-00.041458183,,,,,,,,,59.99020004272461,59.99020004272461,59.99020004272461,,,,2.018059730529785,2.018059253692627,1.999544620513916,-0.02948889136314392,-0.01349312998354435,-0.0006989925750531256,0.0027131508104503155,0.0027161308098584414,0.09991173446178436,2.0,1.0,1026.0
