timestamp,roll,pitch,yaw,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags
2023-02-15-11-24-05.465582041,-0.029473984614014626,-0.016564426943659782,0.20787204802036285,,,,,,58.032711029052734,58.032711029052734,58.032711029052734,,,,4.063793659210205,4.064873695373535,1.9111275672912598,-0.026100870221853256,-0.015504526905715466,0.5285328030586243,0.0009661585208959877,0.0009740125969983637,0.14184674620628357,2.0,1.0,1025.0
2023-02-15-11-24-05.499394441,-0.029472921043634415,-0.016559096053242683,0.20787182450294495,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.02610098011791706,-0.015504616312682629,0.5285394191741943,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.499436219,-0.029484275728464127,-0.01655564457178116,0.20787115395069122,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.02610969915986061,-0.015504072420299053,0.5285491943359375,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.532374777,-0.029480179771780968,-0.01656387560069561,0.20786912739276886,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.026109471917152405,-0.015510428696870804,0.5285604000091553,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.565365686,-0.02950495295226574,-0.016577349975705147,0.20786626636981964,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.026131965219974518,-0.015535932034254074,0.5285624265670776,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.598254951,-0.029497651383280754,-0.01656634546816349,0.20786499977111816,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.026124585419893265,-0.015526482835412025,0.5285643935203552,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.598292953,-0.029507867991924286,-0.01655440405011177,0.20786774158477783,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.02612348087131977,-0.015507739037275314,0.5285776853561401,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.631298891,-0.02949807047843933,-0.016548587009310722,0.20785671472549438,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.02613360807299614,-0.01550446730107069,0.5285829305648804,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.664303877,-0.02950434572994709,-0.016550838947296143,0.20784471929073334,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.02612166292965412,-0.015491918660700321,0.5285816788673401,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.664401843,-0.029506420716643333,-0.016559991985559464,0.20784583687782288,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.026125650852918625,-0.01549671869724989,0.528577983379364,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.697256222,-0.029510002583265305,-0.016555093228816986,0.20783722400665283,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.026134856045246124,-0.015508185140788555,0.5285830497741699,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.697301549,-0.029495766386389732,-0.016560178250074387,0.20782814919948578,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.02614816650748253,-0.015504234470427036,0.5285794734954834,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.730216914,-0.029503321275115013,-0.016548464074730873,0.2078239768743515,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.026133865118026733,-0.015512303449213505,0.5285816788673401,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.763224439,-0.02950771525502205,-0.016536405310034752,0.20781008899211884,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.026120038703083992,-0.015496094711124897,0.5285835266113281,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.796193304,-0.02951260469853878,-0.01652085967361927,0.20781651139259338,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.026130124926567078,-0.01548074558377266,0.5285840034484863,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.829147360,-0.029497377574443817,-0.016529815271496773,0.2078145146369934,,,,,,58.03225326538086,58.03225326538086,58.03225326538086,,,,4.064184665679932,4.0652642250061035,1.911106824874878,-0.0261392779648304,-0.015481465496122837,0.5285924673080444,0.0009661734220571816,0.0009740227251313627,0.14188119769096375,2.0,1.0,1025.0
2023-02-15-11-24-05.862153318,-0.029495498165488243,-0.01654060371220112,0.20779617130756378,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026127947494387627,-0.015492121689021587,0.5285922288894653,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-05.895099318,-0.029499420896172523,-0.016542434692382812,0.2077869474887848,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.02613047882914543,-0.015487287193536758,0.5285824537277222,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-05.928036393,-0.029507704079151154,-0.016556374728679657,0.20779553055763245,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026131607592105865,-0.015493065118789673,0.5285946130752563,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
2023-02-15-11-24-05.928081780,-0.029501236975193024,-0.016561642289161682,0.2078005075454712,,,,,,58.031795501708984,58.031795501708984,58.031795501708984,,,,4.0645751953125,4.06565523147583,1.9110859632492065,-0.026128163561224937,-0.015508662909269333,0.5286039710044861,0.0009661922231316566,0.0009740404784679413,0.14191581308841705,2.0,1.0,1025.0
