TIME,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags,roll,pitch,yaw
2023-02-15-12-06-10.655696229,,,,,,55.67306137084961,55.67306137084961,55.67306137084961,,,,5.613711357116699,5.614396572113037,1.8056002855300903,-0.02486330084502697,-0.016289250925183296,0.6609002351760864,0.0009433054365217686,0.0009406594326719642,0.17000000178813934,2.0,1.0,1025.0,-0.02916312962770462,-0.016572803258895874,0.08656099438667297
2023-02-15-12-06-10.688323191,,,,,,,,,,,,,,,,,,,,,,,,-0.029166173189878464,-0.016575640067458153,0.08655249327421188
2023-02-15-12-06-10.688423377,,,,,,55.67306137084961,55.67306137084961,55.67306137084961,,,,5.613711357116699,5.614396572113037,1.8056002855300903,-0.024866577237844467,-0.016283873468637466,0.6608874797821045,0.0009433054365217686,0.0009406594326719642,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-10.721337824,,,,,,,,,,,,,,,,,,,,,,,,-0.029169464483857155,-0.016557909548282623,0.08654024451971054
2023-02-15-12-06-10.721417254,,,,,,55.67247772216797,55.67247772216797,55.67247772216797,,,,5.613943576812744,5.614628314971924,1.8055752515792847,-0.024868974462151527,-0.016271091997623444,0.6608760356903076,0.0009433722589164972,0.0009406452882103622,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-10.754221985,,,,,,,,,,,,,,,,,,,,,,,,-0.02916243113577366,-0.016556479036808014,0.08654259890317917
2023-02-15-12-06-10.754291831,,,,,,55.67247772216797,55.67247772216797,55.67247772216797,,,,5.613943576812744,5.614628314971924,1.8055752515792847,-0.024864561855793,-0.01627218909561634,0.6608741283416748,0.0009433722589164972,0.0009406452882103622,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-10.787239482,,,,,,,,,,,,,,,,,,,,,,,,-0.02915494330227375,-0.016552647575736046,0.08653976023197174
2023-02-15-12-06-10.787320057,,,,,,55.67247772216797,55.67247772216797,55.67247772216797,,,,5.613943576812744,5.614628314971924,1.8055752515792847,-0.02485882118344307,-0.016269421204924583,0.6608717441558838,0.0009433722589164972,0.0009406452882103622,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-10.820231633,,,,,,,,,,,,,,,,,,,,,,,,-0.029155859723687172,-0.016559485346078873,0.08654139935970306
2023-02-15-12-06-10.820340620,,,,,,55.67247772216797,55.67247772216797,55.67247772216797,,,,5.613943576812744,5.614628314971924,1.8055752515792847,-0.024860486388206482,-0.01626996509730816,0.6608706712722778,0.0009433722589164972,0.0009406452882103622,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-10.853222371,,,,,,55.67247772216797,55.67247772216797,55.67247772216797,,,,5.613943576812744,5.614628314971924,1.8055752515792847,-0.02484711818397045,-0.016270030289888382,0.6608633995056152,0.0009433722589164972,0.0009406452882103622,0.17000000178813934,2.0,1.0,1025.0,-0.029148781672120094,-0.016564661636948586,0.08653254061937332
2023-02-15-12-06-10.886289595,,,,,,55.67247772216797,55.67247772216797,55.67247772216797,,,,5.613943576812744,5.614628314971924,1.8055752515792847,-0.024841103702783585,-0.01625985838472843,0.6608561873435974,0.0009433722589164972,0.0009406452882103622,0.17000000178813934,2.0,1.0,1025.0,-0.029142966493964195,-0.01654593087732792,0.08653328567743301
2023-02-15-12-06-10.919187085,,,,,,,,,,,,,,,,,,,,,,,,-0.029141495004296303,-0.01653473824262619,0.0865328311920166
