TIME,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags,roll,pitch,yaw
2023-02-15-12-06-04.088040552,,,,,,55.680641174316406,55.680641174316406,55.680641174316406,,,,5.610690593719482,5.611376762390137,1.805923581123352,-0.024836909025907516,-0.016199935227632523,0.6616931557655334,0.0009424083982594311,0.0009411067003384233,0.17000000178813934,2.0,1.0,1025.0,-0.029062911868095398,-0.016516167670488358,0.08681339025497437
2023-02-15-12-06-04.121762981,,,,,,55.680641174316406,55.680641174316406,55.680641174316406,,,,5.610690593719482,5.611376762390137,1.805923581123352,-0.024843577295541763,-0.016201049089431763,0.6616917252540588,0.0009424083982594311,0.0009411067003384233,0.17000000178813934,2.0,1.0,1025.0,-0.029065333306789398,-0.01652541011571884,0.08681196719408035
2023-02-15-12-06-04.154659683,,,,,,,,,,,,,,,,,,,,,,,,-0.02907896786928177,-0.01653423346579075,0.08681318163871765
2023-02-15-12-06-04.154747744,,,,,,55.680641174316406,55.680641174316406,55.680641174316406,,,,5.610690593719482,5.611376762390137,1.805923581123352,-0.02484595775604248,-0.016211096197366714,0.6616955399513245,0.0009424083982594311,0.0009411067003384233,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-04.187701067,,,,,,55.680641174316406,55.680641174316406,55.680641174316406,,,,5.610690593719482,5.611376762390137,1.805923581123352,-0.02484923042356968,-0.016219841316342354,0.6616836786270142,0.0009424083982594311,0.0009411067003384233,0.17000000178813934,2.0,1.0,1025.0,-0.029086219146847725,-0.01654195412993431,0.08681551367044449
2023-02-15-12-06-04.220579001,,,,,,,,,,,,,,,,,,,,,,,,-0.02907165139913559,-0.016542155295610428,0.08681356906890869
2023-02-15-12-06-04.220662354,,,,,,55.68006134033203,55.68006134033203,55.68006134033203,,,,5.6109232902526855,5.61160945892334,1.8058987855911255,-0.024834247305989265,-0.0162205770611763,0.6616854667663574,0.0009424781310372055,0.0009410826023668051,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-04.253598640,,,,,,,,,,,,,,,,,,,,,,,,-0.02906033582985401,-0.016538342460989952,0.08681589365005493
2023-02-15-12-06-04.253702782,,,,,,55.68006134033203,55.68006134033203,55.68006134033203,,,,5.6109232902526855,5.61160945892334,1.8058987855911255,-0.024829953908920288,-0.016214817762374878,0.6616833806037903,0.0009424781310372055,0.0009410826023668051,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-04.286573820,,,,,,,,,,,,,,,,,,,,,,,,-0.029057662934064865,-0.016535131260752678,0.08681230992078781
2023-02-15-12-06-04.286647395,,,,,,55.68006134033203,55.68006134033203,55.68006134033203,,,,5.6109232902526855,5.61160945892334,1.8058987855911255,-0.02482297085225582,-0.016214843839406967,0.6616737246513367,0.0009424781310372055,0.0009410826023668051,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-04.319584538,,,,,,55.68006134033203,55.68006134033203,55.68006134033203,,,,5.6109232902526855,5.61160945892334,1.8058987855911255,-0.02482490800321102,-0.01620096154510975,0.6616678237915039,0.0009424781310372055,0.0009410826023668051,0.17000000178813934,2.0,1.0,1025.0,-0.029065057635307312,-0.016532480716705322,0.08680931478738785
2023-02-15-12-06-04.352569455,,,,,,55.68006134033203,55.68006134033203,55.68006134033203,,,,5.6109232902526855,5.61160945892334,1.8058987855911255,-0.02482103370130062,-0.01621217280626297,0.6616740226745605,0.0009424781310372055,0.0009410826023668051,0.17000000178813934,2.0,1.0,1025.0,-0.02905890718102455,-0.016530953347682953,0.08680830150842667
2023-02-15-12-06-04.385483326,,,,,,55.68006134033203,55.68006134033203,55.68006134033203,,,,5.6109232902526855,5.61160945892334,1.8058987855911255,-0.024820221588015556,-0.016211623325943947,0.6616799831390381,0.0009424781310372055,0.0009410826023668051,0.17000000178813934,2.0,1.0,1025.0,-0.029053494334220886,-0.016528896987438202,0.08681652694940567
2023-02-15-12-06-04.418443043,,,,,,55.68006134033203,55.68006134033203,55.68006134033203,,,,5.6109232902526855,5.61160945892334,1.8058987855911255,-0.024818597361445427,-0.01621631160378456,0.661676824092865,0.0009424781310372055,0.0009410826023668051,0.17000000178813934,2.0,1.0,1025.0,-0.029063068330287933,-0.01654166355729103,0.08682209253311157
2023-02-15-12-06-04.451532055,,,,,,55.68006134033203,55.68006134033203,55.68006134033203,,,,5.6109232902526855,5.61160945892334,1.8058987855911255,-0.024823671206831932,-0.016222510486841202,0.6616674065589905,0.0009424781310372055,0.0009410826023668051,0.17000000178813934,2.0,1.0,1025.0,-0.029059089720249176,-0.01654893346130848,0.08681312203407288
2023-02-15-12-06-04.484401799,,,,,,,,,,,,,,,,,,,,,,,,-0.029073206707835197,-0.016549162566661835,0.08681877702474594
2023-02-15-12-06-04.484481402,,,,,,55.68006134033203,55.68006134033203,55.68006134033203,,,,5.6109232902526855,5.61160945892334,1.8058987855911255,-0.02484024688601494,-0.016228990629315376,0.6616702675819397,0.0009424781310372055,0.0009410826023668051,0.17000000178813934,2.0,1.0,1025.0,,,
2023-02-15-12-06-04.517423489,,,,,,,,,,,,,,,,,,,,,,,,-0.029084159061312675,-0.016550472006201744,0.08682125806808472
