TIME,roll,pitch,yaw,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estLatitude,estLongitude,estHeightAboveElipsoid,estNorthPositionUncert,estEastPositionUncert,estDownPositionUncert,estNorthVelocity,estEastVelocity,estDownVelocity,estNorthVelocityUncert,estEastVelocityUncert,estDownVelocityUncert,estRoll,estPitch,estYaw,estRollUncert,estPitchUncert,estYawUncert,estFilterState,estFilterDynamicsMode,estFilterStatusFlags
2023-02-15-12-07-02.234352049,-0.02914619632065296,-0.016739878803491592,0.08473385870456696,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.024794358760118484,-0.017207955941557884,0.6576323509216309,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.267059249,-0.029139211401343346,-0.016736861318349838,0.08471910655498505,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.024790972471237183,-0.01719861477613449,0.6576191186904907,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.300014943,-0.02913777530193329,-0.01673118956387043,0.0847027376294136,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-07-02.300143273,,,,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.02479349821805954,-0.017194963991642,0.6575988531112671,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.333039761,-0.029148012399673462,-0.016756288707256317,0.08470712602138519,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-07-02.333137599,,,,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.02480214834213257,-0.017218491062521935,0.6575961112976074,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.366049183,-0.02913149632513523,-0.016748923808336258,0.08470643311738968,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-07-02.366126987,,,,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.024796877056360245,-0.01722043752670288,0.6576004028320312,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.398953801,-0.02913934923708439,-0.016744116321206093,0.0847059115767479,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-07-02.399033112,,,,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.024792049080133438,-0.017205411568284035,0.6575958132743835,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.432002536,-0.02914424054324627,-0.01675228215754032,0.08469660580158234,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-07-02.432087399,,,,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.024797100573778152,-0.017209988087415695,0.6575924754142761,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.464966390,-0.02914283238351345,-0.016752108931541443,0.08468332141637802,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.024794476106762886,-0.017215432599186897,0.657576858997345,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.497973447,-0.02912978082895279,-0.016747156158089638,0.08470185846090317,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-07-02.498057984,,,,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.02478823997080326,-0.017212674021720886,0.6575800180435181,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.530996675,-0.029128363355994225,-0.016739532351493835,0.08469891548156738,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.024779392406344414,-0.017208989709615707,0.657581090927124,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.563940323,-0.02911107800900936,-0.016732072457671165,0.0846967101097107,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.02476193755865097,-0.01719231903553009,0.6575814485549927,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.596822528,-0.029109792783856392,-0.01673946902155876,0.08469854295253754,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-07-02.596895771,,,,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.024753503501415253,-0.017196331173181534,0.6575828194618225,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
2023-02-15-12-07-02.629824062,-0.029122499749064445,-0.016733946278691292,0.0847010612487793,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15-12-07-02.629895224,,,,,,,,,55.6124267578125,55.6124267578125,55.6124267578125,,,,5.637773513793945,5.638452053070068,1.803014874458313,-0.024781500920653343,-0.01720416732132435,0.6575820446014404,0.0009441835572943091,0.000937457662075758,0.17000000178813934,2.0,1.0,1025.0
